epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,0.4627651854419708,0.83792,0.3015513864040375,0.8908,11.271340131759644
2,0.3276860154724121,0.88132,0.2658638494491577,0.9039,11.126262903213501
3,0.29070001369476317,0.89356,0.2483970247745514,0.9104,11.005418300628662
4,0.27010525510787964,0.90052,0.24160779724121093,0.9136,11.338920831680298
5,0.25648437455654144,0.90658,0.23094017064571382,0.9181,12.091191530227661
6,0.2403048480129242,0.91276,0.21047659466266633,0.9249,11.296554327011108
7,0.23333600195884704,0.91446,0.2147928288936615,0.9239,10.602709531784058
8,0.22111509081840516,0.91822,0.21032933077812194,0.9234,10.960357666015625
9,0.2120890214252472,0.92098,0.20989358074665068,0.9233,11.11949634552002
10,0.2044134360218048,0.92412,0.20729104843139648,0.923,10.966787338256836
11,0.19938229637145996,0.92672,0.1982107502222061,0.9269,11.055647850036621
12,0.1938980945444107,0.92896,0.20168176381587982,0.9255,11.264960765838623
