epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,0.4617628618049622,0.83252,0.3685295030117035,0.8696,8.142529249191284
2,0.2895437560749054,0.89476,0.2759902985095978,0.9025,7.253632307052612
3,0.24359260675430297,0.91086,0.23767230339050294,0.9114,7.421553373336792
4,0.2126785152721405,0.92172,0.24305171971321107,0.9129,7.409123182296753
5,0.18643755422592162,0.93118,0.24417588155269623,0.9114,7.355605602264404
6,0.16313826966762543,0.94012,0.2275779932975769,0.9184,7.494466781616211
7,0.14146713669776917,0.94774,0.22135269515514375,0.9186,7.395209789276123
8,0.12267032396554947,0.95546,0.22849734194278717,0.9208,7.347760438919067
9,0.10607487798452378,0.96182,0.21857756278514862,0.9256,7.316423416137695
10,0.09029609652042389,0.96722,0.26985413444042206,0.9156,7.465548753738403
11,0.07290155584335327,0.97366,0.26877824666500094,0.9213,7.50992751121521
12,0.06429171483635902,0.9767,0.2735545135498047,0.9196,7.437514781951904
